Academic Period	Course No	Course Name	Credit	Grade
2024-2025 Semester II	CS 202	Software Tools and Techniques for CSE	4	A
2024-2025 Semester II	CS 327	Compilers	5	A
2024-2025 Semester II	CS 328	Introduction to Data Science	4	A-
2024-2025 Semester II	CS 330	Operating Systems	4	A
2024-2025 Semester II	CS 432	Databases	4	A
2024-2025 Semester II	IN 106	Comprehensive Viva Voce	0	P
2024-2025 Semester I	BS 192	Undergraduate Science Laboratory	3	A-
2024-2025 Semester I	ES 215	Computer Organization and Architecture	4	A-
2024-2025 Semester I	ES 666	Computer Vision	4	A
2024-2025 Semester I	HS 151	Economics	4	A
2024-2025 Semester I	IN 105	Comprehensive Viva Voce	0	P
2024-2025 Semester I	MA 205	Calculus of Several Variables	2	A
2024-2025 Semester I	MA 206	Introduction to Complex Analysis	2	A
2024-2025 Semester I	MA 601	Applied Linear Algebra, Probability and Statistics	4	A
2023-2024 SUMMER	CS 299	Project Course	4	A
2023-2024 SUMMER	CS 329	Foundations of AI: Multiagent Systems	4	A
2023-2024 Semester II	CS 201	Theory of Computing	4	A
2023-2024 Semester II	CS 299	Project Course	4	A
2023-2024 Semester II	ES 204	Digital Systems	4	A
2023-2024 Semester II	ES 301	Data Structures and Algorithms II	4	A-
2023-2024 Semester II	ES 335	Machine Learning	4	A
2023-2024 Semester II	HS 201	World Civilizations and Cultures	4	A-
2023-2024 Semester II	IN 104	Comprehensive Viva Voce	0	P
2023-2024 Semester II	PE 104	Physical Education	0	P
2023-2024 Semester II	PH 507	Statistical Mechanics 	4	A-
2023-2024 Semester I	ES 214	Discrete Mathematics	4	A
2023-2024 Semester I	ES 242(N)	Data Structures and Algorithms I	4	B
2023-2024 Semester I	ES 243	Biology for Engineers	4	B
2023-2024 Semester I	ES 244	Signals, Systems, and Random Processes	4	B
2023-2024 Semester I	GE 201	General Education II	2	P
2023-2024 Semester I	HS 221	Introduction to Philosophy	4	B
2023-2024 Semester I	IN 103	Comprehensive Viva Voce	0	P
2023-2024 Semester I	MA 203	Numerical Methods	2	B
2023-2024 Semester I	MA 204	Introduction to Partial Differential Equations	2	A
2023-2024 Semester I	PE 103	Physical Education	0	P
2023-2024 Semester I	SC 336	Mathematics of Machine Learning	1	P
2022-2023 SUMMER	ES 101	Engineering Graphics	3	A-
2022-2023 SUMMER	ES 117	The World of Engineering	2	A
2022-2023 SUMMER	ES 118	Materials for the Future	3	P
2022-2023 SUMMER	MA 104	Ordinary Differential Equations	2	A
2022-2023 SUMMER	PE 101 B	Physical Education	0	P
2022-2023 Semester II	ES 113	Data-Centric Computing	3	B
2022-2023 Semester II	ES 114	Probability, Statistics, and Data Visualization	3	A
2022-2023 Semester II	ES 115	Design, Innovation, and Prototyping	5	B-
2022-2023 Semester II	ES 116	Principles and Applications of Electrical Engineering	5	A
2022-2023 Semester II	GE 101	General Education I	2	P
2022-2023 Semester II	HS 192	Introduction to Writing II	2	A-
2022-2023 Semester II	IN 102	Comprehensive Viva Voce	0	P
2022-2023 Semester II	MA 103	Calculus of Single Variable and Linear Algebra	4	A
2022-2023 Semester II	PE 102	Physical Education	0	P
2022-2023 Semester I	ES 112	Computing	3	A+
2022-2023 Semester I	FP 100	Foundation Programme	4	P
2022-2023 Semester I	HS 191	Introduction to Writing I	2	A-
2022-2023 Semester I	IN 101	Comprehensive Viva Voce	0	P
2022-2023 Semester I	PE 101 A	Physical Education	0	P 
2025-2026 Semester I	CS 331	Computer Networks	4
2025-2026 Semester I	DES 603	Fundamentals of 3D Modeling and Animation	4
2025-2026 Semester I	IN 107	Comprehensive Viva Voce	0
2025-2026 Semester I	BE 614	Biostatistics	4
2025-2026 Semester I	HS 525	Cognitive, Sociocultural and Critical Foundations of the Learning Sciences	4